Elaha;wed;18:15;110;CineStar 7;7.6
Elaha;wed;18:15;110;CineStar 7;7.6
Huset | Prisoner;wed;19:00;118;CineStar 5;7.6
Omnejd;wed;19:00;42;InfinityDome;7.3
Norwegian Dream;wed;19:15;97;CineStar 1;6.6
Ung Flukt | The Wayward Girl | Die jungen Sünder;wed;19:15;94;CineStar 4;6.6
Tillsammans 99 | Together 99;wed;19:30;115;Kolosseum;6.5
Nordic Shorts 2: Inbetween;wed;19:45;83;CineStar 2;7.6
Twice Colonized;wed;19:45;92;CineStar 6;6.4
Heima er best | Descendants;wed;20:00;90;Koki;8.1
VR Expanded;wed;20:30;84;InfinityDome;7.5
El sueño de la Sultana | Sultana's Dream | Sultanas Traum;wed;21:15;86;CineStar 7;6.8
Ilveskuiskaaja | Lynx Man;wed;22:00;82;CineStar 5;7.8
Nordic Shorts 3: Real Fake Truths;wed;22:15;74;CineStar 1;7.3
Nordic Shorts 3: Real Fake Truths;wed;22:15;74;CineStar 1;7.3
Poetas | The Poet;wed;22:15;112;CineStar 4;7.3
Poetas | The Poet;wed;22:15;112;CineStar 4;7.3
Revir – En fortælling om det dyrebare | Revir – Everything You Hold Dear;wed;22:30;83;Koki;6.8
Tilverur | Solitude;wed;22:30;75;Kolosseum;7.7
Die Saat | The Seed;wed;22:45;82;CineStar 6;7.6
Die Saat | The Seed;wed;22:45;82;CineStar 6;7.6
Sånger från andra våningen | Songs from the Second Floor;wed;22:45;99;CineStar 2;7.5
Omnejd;thu;18:45;42;InfinityDome;7.3
Tilverur | Solitude;thu;19:00;75;CineStar 5;7.7
De umyndige | Bravehearts;thu;19:15;71;CineStar 1;8.1
Flickorna Gyurkovics | A Sister of Six | Die sieben Töchter der Frau Gyurkovics;thu;19:15;102;CineStar 4;7.1
Und dass man ohne Täuschung zu leben vermag | Of Living Without Illusion;thu;19:15;109;CineStar 7;5.8
Bastarden | The Promised Land | King’s Land;thu;19:30;127;CineStar 3;7.8
Ellos eatnu – La elva leve | Let the River Flow;thu;19:30;122;Kolosseum;7.7
Inger & det dårlige selskab | Mrs Hansen & The Bad Companions;thu;19:45;90;CineStar 6;8.2
Shorts 16+: Wohin mit unseren Träumen?;thu;19:45;73;CineStar 2;7.2
Estonia;thu;20:00;90;Koki;6.9
100 Jahre Planetarien;thu;20:15;58;InfinityDome;7.7
Slow;thu;22:00;108;CineStar 5;7.5
Käpy selän alla | Under Your Skin | Tannenzapfen unter dem Rücken;thu;22:15;89;CineStar 4;6.7
Nordic Shorts 4: The Nuclear Family;thu;22:15;74;CineStar 1;7.8
Shorts: Leben im Konflikt;thu;22:15;72;CineStar 7;7.3
Je'vida;thu;22:30;99;Kolosseum;7.5
Miraklet i Gullspång | The Gullspång Miracle;thu;22:30;109;Koki;8.3
Mummola | Family Time;thu;22:30;116;CineStar 3;7.6
Den siste filmen | The Last Movie;thu;22:45;83;CineStar 6;8.3
Ola – En helt vanlig uvanlig fyr | Being Ola;thu;22:45;72;CineStar 2;7.7
Päikeseaeg | Sundial;fri;10:00;65;Koki;6.6
Opus 136;fri;11:47;10;InfinityDome;4.7
VR Expanded;fri;18:15;84;InfinityDome;7.5
Vintersaga;fri;19:00;81;CineStar 5;7.3
Die Amitié | Amitié;fri;19:15;102;CineStar 7;7.6
Medan staden sover | While the City Sleeps;fri;19:15;102;CineStar 4;5.9
Norwegian Dream;fri;19:15;97;CineStar 1;6.6
Paradiset Brinner | Paradise Is Burning;fri;19:30;108;CineStar 3;6.8
Stille Liv | The Quiet Migration;fri;19:30;102;Kolosseum;6.3
Afturelding | Coach | Balls;fri;19:45;88;CineStar 2;7.9
Fedrelandet | Songs of Earth;fri;19:45;90;CineStar 6;7.3
Heima er best | Descendants;fri;20:00;90;Koki;8.1
Non-Face;fri;21:00;45;InfinityDome;5.6
Savvusanna sõsarad | Smoke Sauna Sisterhood;fri;22:00;89;CineStar 5;7.8
Lasse og Geir | Them and Us | Lasse und Geir;fri;22:15;91;CineStar 4;6.4
Mein Falke | My Falcon;fri;22:15;105;CineStar 7;5.9
Nordic Shorts 5: Broken Connections;fri;22:15;87;CineStar 1;6.7
Bastarden | The Promised Land | King’s Land;fri;22:30;127;Kolosseum;7.1
Ellos eatnu – La elva leve | Let the River Flow;fri;22:30;122;CineStar 3;7.7
Svārstības | Before the Light;fri;22:30;75;Koki;4.7
Ilveskuiskaaja | Lynx Man;fri;22:45;82;CineStar 6;7.8
Tillsammans 99 | Together 99;fri;22:45;115;CineStar 2;6.5
Lübeck Hoch 3: Labor Immersive Medien und digitale Kreation;sat;10:00;120;InfinityDome;7.1
Den siste filmen | The Last Movie;sat;10:15;83;CineStar 4;8.3
Nordic Shorts 5: Broken Connections;sat;12:30;87;Koki;6.7
Neona Pavasaris | Neon Spring;sat;13:45;102;CineStar 2;5.9
100 Jahre Planetarien;sat;18:00;58;InfinityDome;7.7
100 Jahre Planetarien;sat;18:00;58;InfinityDome;7.7
Je'vida;sat;19:00;99;CineStar 5;7.5
Aniden | Suddenly;sat;19:15;115;CineStar 7;7.3
De umyndige | Bravehearts;sat;19:15;71;CineStar 1;8.1
Täältä tullaan, elämä! | Right On, Man! | Ich pfeif auf eure Hilfe!;sat;19:15;111;CineStar 4;6.8
Poetas | The Poet;sat;19:30;112;CineStar 3;7.3
Superposition;sat;19:30;102;Kolosseum;6.3
Ola – En helt vanlig uvanlig fyr | Being Ola;sat;19:45;72;CineStar 6;7.7
Vi lover et helvete | Saving the Fucking Planet E4-6;sat;19:45;210;CineStar 2;7.6
Nordic Shorts 1: Cracks in the Exterior;sat;20:00;71;Koki;6.2
Verden er uskarp | The World Is Out Of Focus;sat;22:00;71;CineStar 5;8.2
Morden im Norden – Am Abgrund;sat;22:15;88;CineStar 7;5.8
Nordic Shorts 2: Inbetween;sat;22:15;83;CineStar 1;7.6
Sigade revolutsioon | Revolution of Pigs | Revolution der Schweine;sat;22:15;98;CineStar 4;6.2
Nordic Shorts 3: Real Fake Truths;sat;22:30;74;Koki;7.3
Paradiset Brinner | Paradise Is Burning;sat;22:30;108;CineStar 3;6.8
Vintersaga;sat;22:30;81;Kolosseum;7.3
Cinéma Laika | Cinema Laika | Kino Laika;sat;22:45;81;CineStar 6;8.1
Handen på Hjärtat | Out of Touch;sat;22:45;132;CineStar 2;6.9
La empresa;sun;16:15;94;CineStar 7;6.4
Twice Colonized;sun;16:45;92;CineStar 6;6.4
VR Expanded;sun;18:15;84;InfinityDome;7.5
København findes ikke | Copenhagen Does Not Exist;sun;19:00;99;CineStar 5;5.9
Poetas | The Poet;sun;19:15;112;CineStar 4;7.3
Savvusanna sõsarad | Smoke Sauna Sisterhood;sun;19:15;89;CineStar 7;7.8
Shorts 14+: Eine Handbreit über dem Boden;sun;19:15;73;CineStar 1;7.4
Paradiset Brinner | Paradise Is Burning;sun;19:30;108;CineStar 3;6.8
Paradiset Brinner | Paradise Is Burning;sun;19:30;108;CineStar 3;6.8
Slow;sun;19:30;108;Kolosseum;7.5
!Aitsa;sun;19:45;89;CineStar 6;8.8
En duva satt på en gren och funderade på tilvaron | A Pigeon Sat on a Branch Reflecting on Existence | Eine Taube sitzt auf einem Zweig und denkt über das Leben nach;sun;19:45;101;CineStar 2;6.9
Tillsammans! | Together! | Zusammen!;sun;20:00;106;Koki;7.4
