Elaha;wed;18:15;110;CineStar 7;7.6
Norwegian Dream;wed;19:15;97;CineStar 1;6.6
El sueño de la Sultana | Sultana's Dream | Sultanas Traum;wed;21:15;86;CineStar 7;6.8
El sueño de la Sultana | Sultana's Dream | Sultanas Traum;thu;10:15;86;CineStar 4;6.8
Elaha;thu;13:15;110;CineStar 7;7.6
Nelly Rapp – Dödens spegel | Nelly Rapp – The Secret of the Black Forest;thu;13:15;95;CineStar 1;6.7
Å Øve | Practice;thu;16:30;79;Kolosseum;7.5
Flickorna Gyurkovics | A Sister of Six | Die sieben Töchter der Frau Gyurkovics;thu;19:15;102;CineStar 4;7.1
Und dass man ohne Täuschung zu leben vermag | Of Living Without Illusion;thu;19:15;109;CineStar 7;5.8
Bastarden | The Promised Land | King’s Land;thu;19:30;127;CineStar 3;7.8
Shorts 16+: Wohin mit unseren Träumen?;thu;19:45;73;CineStar 2;7.0
Slow;thu;22:00;108;CineStar 5;7.5
Shorts: Leben im Konflikt;thu;22:15;72;CineStar 7;7.5
Hugo Hercules & The Wild West / The Artist W. H. D. Koerner;fri;10:15;88;CineStar 7;8.3
Å Øve | Practice;fri;10:30;79;CineStar 3;7.5
Future North Präsentation: Baltisches Filmschaffen;fri;10:45;45;Filmhaus 1;8.9
Om det oändliga | About Endlessness | Über die Unendlichkeit;fri;10:45;78;CineStar 2;6.8
Und dass man ohne Täuschung zu leben vermag | Of Living Without Illusion;fri;13:00;109;CineStar 5;5.8
Slow;fri;13:30;108;CineStar 3;7.5
Filmforum Shorts: (Be)Rauschend;fri;16:15;54;CineStar 7;5.5
Die Amitié | Amitié;fri;19:15;102;CineStar 7;7.6
Norwegian Dream;fri;19:15;97;CineStar 1;6.6
Savvusanna sõsarad | Smoke Sauna Sisterhood;fri;22:00;89;CineStar 5;7.8
Bastarden | The Promised Land | King’s Land;fri;22:30;127;Kolosseum;5.3
Togoland Projections | Togoland Projektionen;sat;10:15;96;CineStar 7;8.7
Slow;sat;10:30;108;Kolosseum;7.5
Å Øve | Practice;sat;13:30;79;Kolosseum;7.5
Å Øve | Practice;sat;13:30;79;Kolosseum;7.5
Overview;sat;15:15;32;InfinityDome;5.5
Hugo Hercules & The Wild West / The Artist W. H. D. Koerner;sat;16:15;88;CineStar 7;8.3
Bastarden | The Promised Land | King’s Land;sat;16:30;127;Kolosseum;5.3
Shorts 16+: Wohin mit unseren Träumen?;sat;17:30;73;Koki;7.0
Shorts 16+: Wohin mit unseren Träumen?;sat;17:30;73;Koki;7.0
Superposition;sat;19:30;102;Kolosseum;6.3
Nelly Rapp – Dödens spegel | Nelly Rapp – The Secret of the Black Forest;sun;10:15;95;CineStar 1;6.7
Ung Flukt | The Wayward Girl | Die jungen Sünder;sun;10:15;94;CineStar 4;6.6
Å Øve | Practice;sun;13:00;79;CineStar 5;7.5
Piratene | Pirates | Die Piraten;sun;13:15;93;CineStar 4;7.7
Bastarden | The Promised Land | King’s Land;sun;13:30;127;CineStar 3;5.3
La empresa;sun;16:15;94;CineStar 7;6.4
Estonia;sun;17:30;90;Koki;6.9
Savvusanna sõsarad | Smoke Sauna Sisterhood;sun;19:15;89;CineStar 7;7.8
Slow;sun;19:30;108;Kolosseum;7.5
